,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament
2745,3,casa unifamiliare,Ben isolata,34,116,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,3,2,8,0,389,0,0,0
2746,1,appartamento in edificio piccolo,Abbastanza isolata,25,87,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,3,1,6,0,389,0,0,0
2747,1,casa plurifamiliare,Abbastanza isolata,11,220,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,4,1,9,0,789,0,0,0
2748,0,casa unifamiliare,Ben isolata,38,52,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,8,2,15,0,489,0,0,0
2749,0,casa unifamiliare,Ben isolata,32,86,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,6,6,0,12,0,489,0,0,0
2750,1,appartamento in edificio piccolo,Abbastanza isolata,8,115,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,2,0,4,0,589,0,0,0
2751,0,casa unifamiliare,Abbastanza isolata,83,110,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,6,3,0,9,0,389,0,0,0
2752,1,casa unifamiliare,Abbastanza isolata,24,116,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,2,3,7,0,689,0,3,3
2753,0,casa plurifamiliare,Abbastanza isolata,4,169,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,3,0,6,2,789,2,0,4
2754,1,casa unifamiliare,Abbastanza isolata,58,117,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,2,2,6,0,1089,6,0,6
2755,1,casa plurifamiliare,Abbastanza isolata,51,149,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,4,2,8,0,389,0,0,0
2756,0,casa plurifamiliare,Non isolata,73,45,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,5,0,10,0,389,0,0,0
2757,3,casa unifamiliare,Non isolata,130,338,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,2,0,4,0,289,0,0,0
2758,3,casa plurifamiliare,Abbastanza isolata,39,379,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,8,0,16,0,289,0,0,0
2759,0,casa unifamiliare,Non isolata,34,116,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,0,7,0,389,0,0,0
2760,1,casa plurifamiliare,Abbastanza isolata,33,88,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,4,1,5,0,589,0,0,0
2761,1,casa plurifamiliare,Abbastanza isolata,52,147,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,2,3,6,0,489,0,0,0
2762,0,casa unifamiliare,Poco isolata,51,96,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,8,0,12,0,1089,0,0,0
2763,3,casa unifamiliare,Abbastanza isolata,41,292,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,6,7,0,13,0,1089,0,0,0
2764,2,appartamento in edificio medio,Abbastanza isolata,16,115,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,3,10,0,889,0,0,0
