,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament,ripart_t,segment_i,seg_cas,isolamento_intercept,seg_rip,ripart_intercept,locationAbition,new_group_e,new_group_r
8203,1,casa unifamiliare,Poco isolata,27,184,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,5,1,9,0,2845.597,0,0,0,non_nord_est,secondo,SC5,isI1,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8204,2,casa unifamiliare,Non isolata,4,101,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,4,2,8,0,1051.9144,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa unifamiliare-2,HSDR_group64,Zero
8205,1,casa unifamiliare,Abbastanza isolata,108,125,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,6,7,2,15,0,2985.6002000000003,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8206,2,appartamento in edificio piccolo,Ben isolata,62,101,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,4,3,1,8,0,2190.4136,0,0,0,non_nord_est,primo,SC2,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-2,HSDR_group63,Zero
8207,0,appartamento in edificio piccolo,Non isolata,67,94,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,8,0,11,0,1336.0405,0,0,0,non_nord_est,primo,SC3,isI1,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8208,3,appartamento in edificio piccolo,Abbastanza isolata,49,136,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,0,0,0,0,1240.8768,0,0,0,non_nord_est,primo,SC4,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-3,HSDR_group52,Zero
8209,1,appartamento in edificio piccolo,Ben isolata,118,379,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,3,3,8,0,3164.5299,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-1,HSDR_group52,Zero
8210,0,appartamento in edificio piccolo,Poco isolata,62,86,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,5,5,0,10,0,1192.1396,0,0,0,non_nord_est,primo,SC3,isI1,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8211,0,appartamento in edificio piccolo,Abbastanza isolata,54,126,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,4,2,9,0,8150.888800000001,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8212,2,casa plurifamiliare,Ben isolata,114,144,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,2,1,3,0,1901.1738,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-2,HSDR_group64,Zero
8213,1,casa plurifamiliare,Non isolata,59,119,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,4,1,5,0,2603.4224000000004,0,0,0,non_nord_est,secondo,SC0,isI1,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
8214,0,casa unifamiliare,Poco isolata,96,81,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,6,5,2,13,0,1643.2755,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8215,0,casa unifamiliare,Non isolata,100,126,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,2,1,5,0,1764.5621,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8216,0,casa unifamiliare,Ben isolata,22,122,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,8,0,10,0,1000.6832,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
